Index	Date	Time	Readings (øF)	Type
445	10/10/2013	3:00:00 AM	30.8	
446	10/10/2013	3:35:00 AM	30.8	
447	10/10/2013	4:10:00 AM	30.8	
448	10/10/2013	4:45:00 AM	30.8	
449	10/10/2013	5:20:00 AM	30.7	
450	10/10/2013	5:55:00 AM	30.7	
451	10/10/2013	6:30:00 AM	30.7	
452	10/10/2013	7:05:00 AM	30.7	
453	10/10/2013	7:40:00 AM	30.7	
454	10/10/2013	8:15:00 AM	30.7	
455	10/10/2013	8:50:00 AM	30.7	
456	10/10/2013	9:25:00 AM	30.7	
457	10/10/2013	10:00:00 AM	30.7	
458	10/10/2013	10:35:00 AM	30.8	
459	10/10/2013	11:10:00 AM	30.8	
460	10/10/2013	11:45:00 AM	30.9	
461	10/10/2013	12:20:00 PM	30.8	
462	10/10/2013	12:55:00 PM	31	
463	10/10/2013	1:30:00 PM	31.3	
464	10/10/2013	2:05:00 PM	31.2	
465	10/10/2013	2:40:00 PM	31.2	
466	10/10/2013	3:15:00 PM	31.2	
467	10/10/2013	3:50:00 PM	31.2	
468	10/10/2013	4:25:00 PM	31.2	
469	10/10/2013	5:00:00 PM	31.2	
470	10/10/2013	5:35:00 PM	31.3	
471	10/10/2013	6:10:00 PM	31.3	
472	10/10/2013	6:45:00 PM	31.4	
473	10/10/2013	7:20:00 PM	31.4	
474	10/10/2013	7:55:00 PM	31.4	
475	10/10/2013	8:30:00 PM	31.4	
476	10/10/2013	9:05:00 PM	31.3	
477	10/10/2013	9:40:00 PM	31.3	
478	10/10/2013	10:15:00 PM	31.1	
479	10/10/2013	10:50:00 PM	31.1	
480	10/10/2013	11:25:00 PM	31	
481	10/11/2013	12:00:00 AM	31	
482	10/11/2013	12:35:00 AM	30.9	
483	10/11/2013	1:10:00 AM	30.8	
484	10/11/2013	1:45:00 AM	30.7	
485	10/11/2013	2:20:00 AM	30.6	
486	10/11/2013	2:55:00 AM	30.5	
487	10/11/2013	3:30:00 AM	30.5	
488	10/11/2013	4:05:00 AM	30.5	
489	10/11/2013	4:40:00 AM	30.4	
490	10/11/2013	5:15:00 AM	30.4	
491	10/11/2013	5:50:00 AM	30.3	
492	10/11/2013	6:25:00 AM	30.2	
493	10/11/2013	7:00:00 AM	30.1	
494	10/11/2013	7:35:00 AM	30.1	
495	10/11/2013	8:10:00 AM	30	
496	10/11/2013	8:45:00 AM	30	
